ID,saleNumber,customer_ID,product_ID,quantity,unitPrice,totalAmount,saleDate,status,remarks
1a2b3c4d-1111-4a1b-8c1d-000000000101,SO0001,a1b2c3d4-1111-4a2b-8c3d-000000000001,e5f6a7b8-2222-4c3d-9e4f-000000000011,2,799.00,1598.00,2026-08-01,Completed,"Delivered on time"
1a2b3c4d-1111-4a1b-8c1d-000000000102,SO0002,a1b2c3d4-1111-4a2b-8c3d-000000000002,e5f6a7b8-2222-4c3d-9e4f-000000000012,5,650.00,3250.00,2026-08-03,Completed,"Bulk order"
1a2b3c4d-1111-4a1b-8c1d-000000000103,SO0003,a1b2c3d4-1111-4a2b-8c3d-000000000003,e5f6a7b8-2222-4c3d-9e4f-000000000013,1,4500.00,4500.00,2026-08-05,Pending,"Awaiting payment confirmation"
1a2b3c4d-1111-4a1b-8c1d-000000000104,SO0004,b2c3d4e5-2222-4b3c-9d4e-000000000004,e5f6a7b8-2222-4c3d-9e4f-000000000014,10,120.00,1200.00,2026-08-07,Completed,"Regular customer"
1a2b3c4d-1111-4a1b-8c1d-000000000105,SO0005,b2c3d4e5-2222-4b3c-9d4e-000000000005,e5f6a7b8-2222-4c3d-9e4f-000000000015,3,499.00,1497.00,2026-08-09,Completed,""
1a2b3c4d-1111-4a1b-8c1d-000000000106,SO0006,b2c3d4e5-2222-4b3c-9d4e-000000000006,f6a7b8c9-3333-4d4e-af5a-000000000016,1,2199.00,2199.00,2026-08-11,Cancelled,"Customer changed mind"
1a2b3c4d-1111-4a1b-8c1d-000000000107,SO0007,c3d4e5f6-3333-4c4d-ae5f-000000000007,f6a7b8c9-3333-4d4e-af5a-000000000017,1,3200.00,3200.00,2026-08-13,Completed,"Gift purchase"
1a2b3c4d-1111-4a1b-8c1d-000000000108,SO0008,c3d4e5f6-3333-4c4d-ae5f-000000000008,f6a7b8c9-3333-4d4e-af5a-000000000018,4,899.00,3596.00,2026-08-16,Pending,"Awaiting stock confirmation"
1a2b3c4d-1111-4a1b-8c1d-000000000109,SO0009,c3d4e5f6-3333-4c4d-ae5f-000000000009,f6a7b8c9-3333-4d4e-af5a-000000000019,2,750.00,1500.00,2026-08-19,Completed,""
1a2b3c4d-1111-4a1b-8c1d-00000000010a,SO0010,d4e5f6a7-4444-4d5e-bf6a-000000000010,f6a7b8c9-3333-4d4e-af5a-00000000001a,3,999.00,2997.00,2026-08-21,Completed,"Repeat customer"
