ID,stockQty,reservedQty,lastUpdated,warehouse_ID,product_ID
3fa85f64-5717-4562-b3fc-2c963f66afa6,150,20,2026-08-01,a1b2c3d4-1111-4a2b-8c3d-000000000001,e5f6a7b8-2222-4c3d-9e4f-000000000011
7c9e6679-7425-40de-944b-e07fc1f90ae7,85,10,2026-08-03,a1b2c3d4-1111-4a2b-8c3d-000000000002,e5f6a7b8-2222-4c3d-9e4f-000000000012
16fd2706-8baf-433b-82eb-8c7fada847da,300,45,2026-08-05,a1b2c3d4-1111-4a2b-8c3d-000000000001,e5f6a7b8-2222-4c3d-9e4f-000000000013
6ba7b810-9dad-11d1-80b4-00c04fd430c8,60,5,2026-08-07,a1b2c3d4-1111-4a2b-8c3d-000000000003,e5f6a7b8-2222-4c3d-9e4f-000000000011
6ba7b811-9dad-11d1-80b4-00c04fd430c9,220,30,2026-08-09,a1b2c3d4-1111-4a2b-8c3d-000000000002,e5f6a7b8-2222-4c3d-9e4f-000000000014
9b2e1f3a-4c5d-4e6f-8a9b-0c1d2e3f4a5b,140,15,2026-08-11,a1b2c3d4-1111-4a2b-8c3d-000000000003,e5f6a7b8-2222-4c3d-9e4f-000000000012
f47ac10b-58cc-4372-a567-0e02b2c3d479,95,8,2026-08-13,a1b2c3d4-1111-4a2b-8c3d-000000000001,e5f6a7b8-2222-4c3d-9e4f-000000000015
c56a4180-65aa-42ec-a945-5fd21dec0538,175,25,2026-08-16,a1b2c3d4-1111-4a2b-8c3d-000000000002,e5f6a7b8-2222-4c3d-9e4f-000000000013
a3bb189e-8bf9-3888-9912-ace4e6543002,50,5,2026-08-19,a1b2c3d4-1111-4a2b-8c3d-000000000003,e5f6a7b8-2222-4c3d-9e4f-000000000014
1b671a64-40d5-491e-99b0-da01ff1f3341,260,40,2026-08-21,a1b2c3d4-1111-4a2b-8c3d-000000000001,e5f6a7b8-2222-4c3d-9e4f-000000000015
